,id,titulo,lingua_original,lancamento,popularidade,media_dos_votos,qtds_votos,tipo_de_midia,adulto
145,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
146,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
147,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
148,95558,,Ingles,,64.625,8.0,8,Tv,False
149,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
150,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
151,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
152,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
153,158876,,Chines,,58.304,8.4,9,Tv,False
154,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
155,117465,,Japones,,62.392,10.0,4,Tv,False
156,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
157,208891,,Japones,,59.825,8.667,3,Tv,False
158,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
159,82856,,Ingles,,1108.646,8.488,8697,Tv,False
160,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
161,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
162,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
163,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
164,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
165,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
166,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
167,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
168,95558,,Ingles,,64.625,8.0,8,Tv,False
169,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
170,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
171,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
172,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
173,158876,,Chines,,58.304,8.4,9,Tv,False
174,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
175,117465,,Japones,,62.392,10.0,4,Tv,False
176,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
177,208891,,Japones,,59.825,8.667,3,Tv,False
178,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
179,82856,,Ingles,,1108.646,8.488,8697,Tv,False
180,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
181,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
182,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
183,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
184,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
185,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
186,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
187,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
188,95558,,Ingles,,64.625,8.0,8,Tv,False
189,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
190,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
191,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
192,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
193,158876,,Chines,,58.304,8.4,9,Tv,False
194,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
195,117465,,Japones,,62.392,10.0,4,Tv,False
196,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
197,208891,,Japones,,59.825,8.667,3,Tv,False
198,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
199,82856,,Ingles,,1108.646,8.488,8697,Tv,False
200,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
201,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
202,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
203,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
204,849869,길복순,Koreano,2023-02-17,33.985,6.9,39,Filme,False
205,603692,John Wick: Chapter 4,Ingles,2023-03-22,2569.508,8.161,635,Filme,False
206,493529,Dungeons & Dragons: Honor Among Thieves,Ingles,2023-03-23,702.523,7.598,128,Filme,False
207,932430,Prom Pact,Ingles,2023-03-30,85.403,8.0,10,Filme,False
208,95558,,Ingles,,64.625,8.0,8,Tv,False
209,816904,Momias,Espanhol,2023-01-05,1224.45,7.008,64,Filme,False
210,514999,Murder Mystery,Ingles,2019-05-25,197.421,6.252,3642,Filme,False
211,1049638,Rye Lane,Ingles,2023-03-17,30.374,7.778,18,Filme,False
212,739405,Operation Fortune: Ruse de Guerre,Ingles,2023-01-04,184.229,6.721,297,Filme,False
213,158876,,Chines,,58.304,8.4,9,Tv,False
214,921355,Assassin,Ingles,2023-03-31,80.805,4.8,11,Filme,False
215,117465,,Japones,,62.392,10.0,4,Tv,False
216,933419,Champions,Ingles,2023-03-09,104.315,6.512,43,Filme,False
217,208891,,Japones,,59.825,8.667,3,Tv,False
218,878375,On a Wing and a Prayer,Ingles,2023-04-06,53.714,8.0,4,Filme,False
219,82856,,Ingles,,1108.646,8.488,8697,Tv,False
220,638974,Murder Mystery 2,Ingles,2023-03-26,235.901,6.8,187,Filme,False
221,677179,Creed III,Ingles,2023-03-01,1537.879,7.2,561,Filme,False
222,726759,Tetris,Ingles,2023-03-15,66.661,7.7,100,Filme,False
223,76600,Avatar: The Way of Water,Ingles,2022-12-14,10224.28,7.742,6335,Filme,False
